Column1,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
257,MenloPark,37.45277778,-122.1833333,22,72,32026,17.415,9.79,7.625,45.105,25.355,19.75,43.79
258,Merced,37.3,-120.4833333,52,171,80793,23.316,23.316,0,60.389,60.389,0,0
259,Millbrae,37.60083333,-122.4013889,,33,21536,3.259,3.247,0.012,8.439,8.409,0.03,0.36
260,MillValley,37.90611111,-122.545,,79,13903,4.847,4.763,0.084,12.555,12.336,0.219,1.74
261,Milpitas,37.43472222,-121.895,5,16,70092,13.641,13.591,0.05,35.328,35.2,0.128,0.36
262,MissionViejo,33.61277778,-117.6561111,121,448,96346,18.123,17.739,0.384,46.939,45.944,0.995,2.12
263,Modesto,37.66138889,-120.9944444,27,89,201165,37.092,36.867,0.225,96.069,95.486,0.583,0.61
264,Monrovia,34.14416667,-118.0019444,174,571,36590,13.714,13.605,0.109,35.519,35.237,0.282,0.79
265,Montague,41.72722222,-122.5263889,774,2539,1443,1.793,1.778,0.015,4.644,4.605,0.039,0.85
266,Montclair,34.07083333,-117.6975,326,1066,36664,5.517,5.517,0,14.289,14.289,0,0
267,Montebello,34.01444444,-118.1144444,61,200,62500,8.373,8.333,0.04,21.685,21.581,0.104,0.48
268,Monterey,36.6,-121.9,8,26,27810,11.764,8.466,3.298,30.469,21.927,8.542,28.03
269,MontereyPark,34.04916667,-118.1355556,117,384,60269,7.733,7.672,0.061,20.029,19.87,0.158,0.79
270,MonteSereno,37.23805556,-121.9894444,,515,3341,1.615,1.615,0,4.184,4.184,0,0
271,Moorpark,34.28083333,-118.8733333,157,515,34421,12.799,12.579,0.22,33.149,32.58,0.569,1.72
272,Moraga,37.835,-122.1297222,,,16016,9.442,9.433,0.009,24.455,24.432,0.023,0.09
273,MorenoValley,33.94305556,-117.2283333,497,1631,193365,51.475,51.275,0.2,133.319,132.8,0.519,0.39
274,MorganHill,37.13055556,-121.6544444,107,350,37882,12.882,12.882,0,33.363,33.363,0,0
275,MorroBay,35.37916667,-120.8533333,19,62,10234,10.322,5.303,5.019,26.734,13.734,13,48.63
276,MountainView,37.38944444,-122.0819444,32,105,74066,12.273,11.995,0.278,31.788,31.068,0.72,2.26
277,MountShasta,41.31444444,-122.3113889,1099,3606,3394,3.77,3.766,0.004,9.764,9.754,0.01,0.1
278,Murrieta,33.56944444,-117.2025,334,1096,103466,33.613,33.577,0.036,87.058,86.964,0.094,0.11
279,Napa,38.30472222,-122.2988889,,20,76915,18.147,17.839,0.308,47,46.203,0.797,1.69
280,NationalCity,32.67805556,-117.0991667,21,69,58582,9.116,7.277,1.839,23.609,18.847,4.762,20.17
281,Needles,34.83833333,-114.6111111,151,495,4844,31.275,30.808,0.467,81.002,79.793,1.209,1.49
282,NevadaCity,39.26138889,-121.0186111,755,2477,3068,2.192,2.188,0.004,5.677,5.667,0.01,0.17
283,Newark,37.53333333,-122.0333333,,20,43539,13.898,13.875,0.023,35.996,35.936,0.061,0.17
284,Newman,37.315,-121.0225,27,89,10224,2.102,2.102,0,5.444,5.444,0,0
285,NewportBeach,33.61666667,-117.8975,3,,85186,52.978,23.805,29.173,137.211,61.654,75.557,55.07
286,Norco,33.93111111,-117.5486111,195,640,27063,14.278,13.962,0.316,36.98,36.161,0.819,2.22
287,Norwalk,33.90694444,-118.0833333,28,92,105549,9.746,9.707,0.039,25.243,25.141,0.102,0.4
288,Novato,38.1075,-122.5697222,9,30,51904,27.957,27.44,0.517,72.407,71.068,1.339,1.85
289,Oakdale,37.76916667,-120.8569444,48,157,20675,6.095,6.045,0.05,15.784,15.655,0.129,0.81
290,Oakland,37.80444444,-122.2708333,,43,406253,78.002,55.786,22.216,202.024,144.485,57.54,28.48
291,Oakley,37.9975,-121.7125,6,20,35432,16.155,15.853,0.302,41.842,41.059,0.783,1.87
292,Oceanside,33.21166667,-117.3258333,20,66,183095,42.174,41.235,0.939,109.231,106.798,2.433,2.23
293,Ojai,34.44916667,-119.2466667,227,745,7461,4.401,4.386,0.015,11.398,11.359,0.04,0.35
294,Ontario,34.05277778,-117.6277778,282,925,163924,50.006,49.941,0.065,129.515,129.345,0.17,0.13
295,Orange,33.80305556,-117.8325,59,195,136416,25.24,24.797,0.443,65.371,64.224,1.147,1.75
296,OrangeCove,36.62444444,-119.3136111,129,423,9078,1.912,1.912,0,4.951,4.951,0,0
297,Orinda,37.88277778,-122.1797222,151,495,18342,12.698,12.683,0.015,32.887,32.848,0.039,0.12
298,Orland,39.7475,-122.1963889,79,259,7291,2.971,2.971,0,7.696,7.696,0,0
299,Oroville,39.51666667,-121.55,51,167,15506,13.011,12.993,0.018,33.701,33.653,0.048,0.14
300,Oxnard,34.19138889,-119.1825,16,52,203585,39.208,26.894,12.314,101.548,69.656,31.893,31.41
301,Pacifica,37.62277778,-122.4855556,25,82,37234,12.66,12.658,0.002,32.789,32.784,0.005,0.01
302,PacificGrove,36.61777778,-121.9166667,46,151,15295,4.003,2.865,1.138,10.366,7.419,2.946,28.42
303,Palmdale,34.58111111,-118.1005556,810,2657,152750,106.216,105.961,0.255,275.099,274.439,0.66,0.24
304,PalmDesert,33.72555556,-116.3694444,67,220,48445,27.014,26.81,0.204,69.966,69.437,0.529,0.76
305,PalmSprings,33.82388889,-116.5302778,146,440,44552,94.975,94.116,0.859,245.984,243.761,2.224,0.9
306,PaloAlto,37.42916667,-122.1380556,9,30,64403,25.787,23.884,1.903,66.787,61.858,4.929,7.38
307,PalosVerdesEstates,33.78694444,-118.3966667,64,210,13438,4.774,4.774,0,12.365,12.364,0.001,0.01
308,Paradise,39.75972222,-121.6213889,542,1778,26249,18.322,18.308,0.014,47.455,47.418,0.037,0.08
309,Paramount,33.9,-118.1666667,21,69,54098,4.84,4.729,0.111,12.536,12.249,0.286,2.28
310,Parlier,36.61166667,-119.5269444,105,344,14494,2.194,2.194,0,5.682,5.682,0,0
311,Pasadena,34.15611111,-118.1319444,263,863,137122,23.128,22.97,0.158,59.902,59.493,0.409,0.68
312,PasoRobles,35.64083333,-120.6538889,242,,29792,19.425,19.12,0.305,50.312,49.522,0.79,1.57
313,Patterson,37.47305556,-121.1327778,31,102,20413,5.954,5.954,0,15.421,15.421,0,0
314,Perris,33.79666667,-117.2244444,443,1453,71326,31.503,31.393,0.11,81.594,81.308,0.286,0.35
315,Petaluma,38.24583333,-122.6313889,9,30,58921,14.489,14.382,0.107,37.527,37.249,0.278,0.74
316,PicoRivera,33.98888889,-118.0891667,50,164,62942,8.882,8.296,0.586,23.003,21.485,1.518,6.6
317,Piedmont,37.81666667,-122.2333333,,331,10667,1.678,1.678,0,4.345,4.345,0,0
318,Pinole,38.00444444,-122.2911111,31,23,18390,13.575,5.323,8.252,35.16,13.787,21.372,60.79
319,PismoBeach,35.14833333,-120.6480556,17,56,7655,13.476,3.599,9.877,34.904,9.322,25.582,73.29
320,Pittsburg,38.02805556,-121.8847222,8,26,63264,19.154,17.218,1.936,49.61,44.595,5.015,10.11
321,Placentia,33.8825,-117.855,83,272,50533,6.582,6.568,0.014,17.048,17.011,0.037,0.22
322,Placerville,38.72972222,-120.7986111,,1867,10389,5.813,5.812,0.001,15.054,15.052,0.002,0.01
323,PleasantHill,37.94805556,-122.0525,16,52,33152,7.072,7.072,0,18.315,18.315,0,0
324,Pleasanton,37.6625,-121.8747222,,351,70285,24.266,24.113,0.153,62.847,62.452,0.395,0.63
325,Plymouth,38.48194444,-120.8447222,330,1083,1005,0.944,0.931,0.013,2.444,2.411,0.033,1.34
326,PointArena,38.90888889,-123.6930556,36,118,449,1.35,1.35,0,3.496,3.496,0,0
327,Pomona,34.06083333,-117.7558333,259,850,1,22.964,22.952,0.012,59.474,59.444,0.03,0.05
328,Porterville,36.06861111,-119.0275,139,459,55697,17.679,17.607,0.072,45.79,45.603,0.188,0.41
329,PortHueneme,34.16027778,-119.1944444,4,12,21723,4.671,4.451,0.22,12.096,11.528,0.569,4.7
330,Portola,39.81027778,-120.4697222,1480,4856,2104,5.407,5.407,0,14.003,14.003,0,0
331,PortolaValley,37.375,-122.2186111,140,459,4353,9.093,9.092,0.001,23.551,23.547,0.004,0.02
332,Poway,32.97,-117.0386111,157,515,47811,39.165,39.079,0.086,101.438,101.214,0.223,0.22
333,RanchoCordova,38.58916667,-121.3027778,27,89,64776,33.874,33.507,0.367,87.733,86.782,0.951,1.08
334,RanchoCucamonga,34.12333333,-117.5794444,368,1207,170746,39.871,39.851,0.02,103.263,103.212,0.051,0.05
335,RanchoMirage,33.76916667,-116.4211111,83,272,17218,,24.447,0.389,64.326,63.318,1.008,1.57
336,RanchoPalosVerdes,33.75833333,-118.3641667,67,220,41643,13.465,13.465,0,34.875,34.874,0.001,0
337,RanchoSantaMargarita,33.64138889,-117.5944444,290,775,47853,12.992,12.957,0.035,33.651,33.56,0.091,0.27
338,RedBluff,40.17666667,-122.2380556,93,305,24674,7.677,7.563,0.114,19.882,19.587,0.295,1.48
339,Redding,40.58333333,-122.3666667,151,495,92328,61.175,59.647,1.528,158.442,154.485,3.957,2.5
340,Redlands,34.05472222,-117.1825,414,1358,68747,36.427,36.126,0.301,94.344,93.565,0.779,0.83
341,RedondoBeach,33.85638889,-118.3769444,,62,66748,6.208,6.198,0.01,16.08,16.054,0.026,0.16
342,RedwoodCity,37.48277778,-122.2361111,6,20,76815,34.625,19.42,15.205,89.677,50.297,39.38,43.91
343,Reedley,36.59638889,-119.4502778,106,348,24194,5.156,5.084,0.072,13.352,13.166,0.185,1.39
344,Rialto,34.11138889,-117.3825,383,1257,101740,22.365,22.351,0.014,57.926,57.889,0.037,0.06
345,Richmond,37.93583333,-122.3477778,14,46,103701,52.48,30.068,22.412,135.923,77.875,58.048,42.71
346,Ridgecrest,35.6225,-117.6708333,698,2290,27616,21.417,20.766,0.651,55.469,53.783,1.685,3.04
347,RioDell,40.49916667,-124.1063889,49,161,3363,2.418,2.282,0.136,6.261,5.91,0.351,5.61
348,RioVista,38.16388889,-121.6958333,6,20,7360,7.094,6.691,0.403,18.375,17.33,1.044,5.68
349,Ripon,37.74055556,-121.1283333,21,69,14297,5.495,5.305,0.19,14.232,13.739,0.493,3.47
350,Riverbank,37.73138889,-120.9436111,43,141,22678,4.116,4.092,0.024,10.661,10.599,0.062,0.59
351,Riverside,33.94805556,-117.3961111,262,860,313673,81.444,81.14,0.304,210.941,210.152,0.788,0.37
352,Rocklin,38.8,-121.2466667,79,249,56974,19.594,19.541,0.053,50.749,50.61,0.139,0.27
353,RohnertPark,38.34722222,-122.6952778,32,105,40971,7.008,7.003,0.005,18.149,18.136,0.013,0.07
354,RollingHills,33.75944444,-118.3416667,389,1276,1860,2.991,2.991,0,7.746,7.746,0,0
355,RollingHillsEstates,33.77361111,-118.3608333,143,469,8067,3.613,3.569,0.044,9.359,9.244,0.115,1.22
356,Rosemead,34.06666667,-118.0833333,97,318,53764,5.176,5.162,0.014,13.406,13.37,0.035,0.26
357,Roseville,38.7525,-121.2894444,50,164,127323,36.223,36.222,0.001,93.817,93.814,0.003,0
358,Ross,37.9625,-122.555,11,36,2415,1.556,1.556,0,4.031,4.031,0,0
359,Sacramento,38.55555556,-121.4688889,9,30,466488,100.105,97.915,2.19,259.273,253.6,5.673,2.19
360,Salinas,36.67777778,-121.6555556,16,52,163665,23.217,23.179,0.038,60.131,60.033,0.099,0.16
361,SanAnselmo,37.97472222,-122.5616667,14,46,12336,2.677,2.677,0,6.934,6.934,0,0
362,SanBernardino,34.1,-117.3,321,1974,209924,59.645,59.201,0.444,154.48,153.33,1.15,0.74
363,SanBruno,37.62527778,-122.4252778,5,16,41114,5.478,5.478,0,14.188,14.188,0,0
364,SanCarlos,37.49916667,-122.2633333,,33,28406,5.541,5.538,0.003,14.35,14.343,0.007,0.05
365,SanClemente,33.43777778,-117.6202778,71,250,63522,19.468,18.711,0.757,50.422,48.461,1.961,3.89
366,SandCity,36.61722222,-121.8483333,22,72,334,2.924,0.562,2.362,7.575,1.457,6.119,80.77
367,SanDiego,32.715,-117.1625,6,3,1345895,372.4,325.19,47.21,964.51,842.23,122.27,12.68
368,SanDimas,34.10277778,-117.8161111,,750,33371,15.427,15.037,0.39,39.957,38.947,1.01,2.53
369,SanFernando,34.28722222,-118.4388889,326,1070,23645,2.374,2.374,0,6.149,6.149,0,0
370,SanFrancisco,37.78333333,-122.4166667,,52,837442,231.89,46.87,185.02,,,,80
371,SanGabriel,34.09416667,-118.0983333,128,420,39718,4.146,4.145,0.001,10.736,10.734,0.002,0.02
372,Sanger,36.70805556,-119.5558333,,371,24270,5.524,5.524,0,14.307,14.307,0,0
373,SanJacinto,33.78722222,-116.9666667,477,1565,44199,26.131,25.716,0.415,67.679,66.605,1.074,1.59
374,SanJoaquin,36.60666667,-120.1891667,53,174,4001,1.148,1.148,0,2.973,2.973,0,0
375,SanJose,37.33333333,-121.9,26,,1000536,179.97,176.526,3.439,466.109,457.201,8.908,1.91
376,SanJuanBautista,36.84416667,-121.5372222,66,217,1862,0.711,0.711,0,1.843,1.842,0.001,0.06
377,SanJuanCapistrano,33.49944444,-117.6616667,37,96,34593,14.295,14.115,0.18,37.024,36.559,0.466,1.26
378,SanLeandro,37.725,-122.1561111,15,56,86869,15.663,13.343,2.32,40.565,34.557,6.008,14.81
379,SanLuisObispo,35.27416667,-120.6630556,71,233,45119,12.93,12.777,0.153,33.489,33.093,0.396,1.18
380,SanMarcos,33.14194444,-117.1702778,,,83781,24.39,24.37,0.02,63.169,63.117,0.053,0.08
381,SanMarino,34.12277778,-118.1130556,172,564,13147,3.774,3.767,0.007,9.775,9.757,0.018,0.18
382,SanMateo,37.55416667,-122.3130556,13,43,97207,15.884,12.13,3.754,41.137,31.416,9.722,23.63
383,SanPablo,37.96222222,-122.3455556,16,52,29139,2.634,2.634,0,6.822,6.822,0,0
384,SanRafael,37.97361111,-122.5311111,13,43,57713,22.422,16.47,5.952,58.074,42.657,15.417,26.55
385,SanRamon,37.78,-121.9780556,146,480,73927,18.077,18.061,0.016,46.819,46.778,0.042,0.09
386,SantaAna,33.74083333,-117.8813889,35,115,324528,27.518,27.27,0.248,71.271,70.628,0.643,0.9
387,SantaBarbara,34.42583333,-119.7141667,15,49,90893,41.968,19.468,22.5,108.697,50.422,58.275,53.61
388,SantaClara,37.35444444,-121.9691667,23,75,116468,18.407,18.407,0,47.675,47.675,0,0
389,SantaClarita,34.41666667,-118.5063889,368,1207,209130,62.16,62.1,0.06,160.993,160.825,0.168,0.099
390,SantaCruz,36.97194444,-122.0263889,11,36,62864,15.828,12.74,3.088,40.996,32.997,7.999,19.51
391,SantaFeSprings,33.9375,-118.0672222,41,135,16223,8.914,8.874,0.04,23.088,22.985,0.103,0.45
392,SantaMaria,34.95138889,-120.4333333,67,220,101459,23.395,22.756,0.639,60.592,58.937,1.655,2.73
393,SantaMonica,34.02194444,-118.4813889,,105,89736,8.416,8.415,0.001,,,,
394,SantaPaula,34.35583333,-119.0683333,85,279,29321,4.707,4.593,0.114,12.189,11.895,0.294,2.41
395,SantaRosa,38.44861111,-122.7047222,50,164,170685,41.499,41.294,0.205,107.481,106.95,0.531,0.49
396,Santee,32.86972222,-116.9711111,105,345,53413,16.528,16.235,0.293,42.808,42.049,0.759,1.77
397,Saratoga,37.2725,-122.0194444,,410,29926,12.382,12.382,0,32.07,32.07,0,0
398,Sausalito,37.85916667,-122.4852778,4,13,7061,2.257,1.771,0.486,5.846,4.586,1.259,21.54
399,ScottsValley,37.05138889,-122.0133333,171,561,11580,4.595,4.595,0,11.9,11.9,0,0
400,SealBeach,33.75916667,-118.0825,4,13,24168,13.04,11.286,1.754,33.775,29.231,4.544,13.45
401,Seaside,36.61111111,-121.8447222,10,33,33025,9.376,9.237,0.139,24.282,23.923,0.359,1.48
402,Sebastopol,38.39916667,-122.8269444,25,82,7379,1.853,1.853,0,4.799,4.799,0,0
403,Selma,36.57083333,-119.6119444,94,308,23219,5.136,5.136,0,13.303,13.303,0,0
404,Shafter,35.50055556,-119.2716667,106,348,16988,27.945,27.945,0,72.376,72.376,0,0
405,ShastaLake,40.67805556,-122.37,246,810,10164,10.929,10.921,0.008,28.305,28.284,0.02,0.07
406,SierraMadre,34.16472222,-118.0508333,252,827,10917,2.957,2.953,0.004,7.659,7.647,0.012,0.15
407,SignalHill,33.79935,-118.16558,45,148,11465,2.191,2.189,0.002,5.673,5.669,0.004,0.08
408,SimiValley,34.27111111,-118.7394444,234,768,126874,42.247,41.48,0.767,109.418,107.433,1.986,1.81
409,SolanaBeach,32.99527778,-117.2602778,22,72,12867,3.624,3.52,0.104,9.386,9.115,0.27,2.88
410,Soledad,36.42472222,-121.3263889,58,190,25738,4.566,4.414,0.152,11.825,11.432,0.393,3.32
411,Solvang,34.59388889,-120.1397222,154,505,5245,2.426,2.425,0.001,6.284,6.281,0.003,0.05
412,Sonoma,38.28888889,-122.4588889,26,85,10648,2.742,2.742,0,7.102,7.102,0,0
413,Sonora,37.98444444,-120.3816667,544,1785,7169,3.078,3.064,0.014,7.972,7.936,0.036,0.45
414,SouthElMonte,34.04888889,-118.0483333,76,249,20116,2.848,2.843,0.005,7.378,7.364,0.014,0.19
415,SouthGate,33.94416667,-118.195,37,120,94396,7.353,7.236,0.117,19.044,18.742,0.303,1.59
416,SouthLakeTahoe,38.94,-119.9769444,1901,6237,21403,16.603,10.161,6.442,43.003,26.318,16.685,38.8
417,SouthPasadena,34.11305556,-118.1558333,201,659,25619,3.417,3.405,0.012,8.851,8.82,0.031,0.35
418,SouthSanFrancisco,37.65611111,-122.4255556,4,13,64409,30.158,9.141,21.017,78.109,23.674,54.435,69.69
419,Stanton,33.8025,-117.9944444,20,66,38186,3.15,3.15,0,8.158,8.158,0,0
420,StHelena,38.50527778,-122.4702778,77,253,5814,5.027,4.986,0.041,13.019,12.913,0.106,0.81
421,Stockton,37.97555556,-121.3008333,4,13,301090,64.753,61.67,3.083,167.708,159.723,7.985,4.76
422,SuisunCity,38.245,-122.0169444,2,7,28111,4.163,4.105,0.058,10.783,10.633,0.15,1.39
423,Sunnyvale,37.37111111,-122.0375,39,128,140081,22.689,21.987,0.702,58.765,56.947,1.818,3.09
424,Susanville,40.41638889,-120.6530556,1276,4186,17974,8.017,7.931,0.086,20.763,20.541,0.222,1.07
425,SutterCreek,38.39305556,-120.8025,362,1188,2501,2.558,2.558,0,6.625,6.625,0,0
426,Taft,35.1425,-119.4563889,291,955,9327,15.113,15.113,0,39.143,39.143,0,0
427,Tehachapi,35.13222222,-118.4488889,1210,3970,14414,9.971,9.874,0.097,25.823,25.573,0.25,0.97
428,Tehama,40.02444444,-122.1238889,64,210,418,0.794,0.794,0,2.057,2.057,0,0
429,Temecula,33.50333333,-117.1236111,310.59,1019,105208,30.167,30.151,0.016,78.133,78.092,0.042,0.05
430,TempleCity,34.10277778,-118.0580556,122,400,35558,4.006,4.006,0,10.374,10.374,0,0
431,ThousandOaks,34.18944444,-118.875,270,886,128374,55.181,55.031,0.15,142.918,142.53,0.387,0.27
432,Tiburon,37.87361111,-122.4566667,4,13,8962,13.182,4.446,8.736,34.14,11.515,22.625,66.27
433,Torrance,33.83472222,-118.3413889,27,89,147027,20.553,20.478,0.075,53.233,53.038,0.195,0.37
434,Tracy,37.73805556,-121.4338889,16,52,82922,22.139,22.003,0.136,57.34,56.987,0.352,0.61
435,Trinidad,41.05916667,-124.1430556,53,174,367,0.671,0.485,0.186,1.737,1.255,0.482,27.75
436,Truckee,39.34222222,-120.2036111,1773,5817,16180,33.654,32.322,1.332,87.162,83.713,3.449,3.96
437,Tulare,36.20666667,-119.3425,88,289,59278,21.016,20.931,0.085,54.433,54.212,0.221,0.41
438,Tulelake,41.95416667,-121.4758333,1230,4035,1010,0.412,0.41,0.002,1.067,1.061,0.006,0.58
439,Turlock,37.50583333,-120.8488889,31,102,69733,16.928,16.928,0,43.844,43.844,0,0
440,Tustin,33.73972222,-117.8136111,43,141,75540,11.082,11.082,0,28.701,28.701,0,0
441,TwentyninePalms,34.13833333,-116.0725,607,1991,25768,59.143,59.143,0,153.179,153.179,0,0
442,Ukiah,39.15027778,-123.2077778,193,639,16075,4.722,4.67,0.052,12.232,12.096,0.136,1.11
443,UnionCity,37.58694444,-122.0258333,,,72155,19,19,0,,,,
444,Upland,34.1,-117.65,405,1328,73732,15.651,15.617,0.034,40.535,40.448,0.087,0.21
445,Vacaville,38.35388889,-121.9727778,53,174,92428,28.585,28.373,0.212,74.034,73.485,0.55,0.74
446,Vallejo,38.11305556,-122.2358333,21,60,115942,49.5,30.6,18.8,128.3,79.4,48.8,38
447,Ventura,34.275,-119.2277778,,,106433,32.095,21.655,10.44,83.124,56.085,27.039,32.53
448,Vernon,34.00111111,-118.2111111,62,203,112,5.157,4.973,0.184,13.357,12.88,0.476,3.57
449,Victorville,34.53611111,-117.2883333,832,2726,120336,73.741,73.178,0.563,190.988,189.529,1.459,0.76
450,VillaPark,33.81611111,-117.8111111,104,341,5812,2.078,2.078,0,5.383,5.383,0,0
451,Visalia,36.31666667,-119.3,101,331,124442,36.266,36.246,0.02,93.928,93.876,0.0512,0.05
452,Vista,33.19361111,-117.2411111,99,325,93834,18.678,18.678,0,48.377,48.377,0,0
453,Walnut,34.03333333,-117.8666667,171,561,29172,8.996,8.992,0.004,23.3,23.29,0.01,0.04
454,WalnutCreek,37.90638889,-122.065,,131,64173,19.769,19.757,0.012,51.201,51.169,0.031,0.06
455,Wasco,35.59416667,-119.3408333,100,328,25545,9.426,9.426,0,24.413,24.413,0,0
456,Waterford,37.645,-120.7675,52,171,8456,2.369,2.328,0.041,6.135,6.03,0.105,1.72
457,Watsonville,36.92,-121.7636111,9,29,51199,6.783,6.687,0.096,17.569,17.319,0.25,1.42
458,Weed,41.42416667,-122.3844444,1044,3425,2967,4.795,4.79,0.005,12.417,12.405,0.012,0.1
459,WestCovina,34.05666667,-117.9186111,110,362,106098,16.09,16.041,0.049,41.671,41.545,0.126,0.3
460,WestHollywood,34.08777778,-118.3722222,86,282,34650,1.887,1.887,0,4.888,4.888,0,0
461,WestlakeVillage,34.14194444,-118.8194444,268,880,8270,5.509,5.185,0.32,14.257,13.43,0.828,5.8
462,Westminster,33.75138889,-117.9938889,12,39,89701,10.049,10.049,0,26.027,26.027,0,0
463,Westmorland,33.03722222,-115.6213889,,-164,2225,0.59,0.59,0,1.529,1.529,0,0
464,WestSacramento,38.58055556,-121.5302778,6,20,48744,22.846,21.425,1.421,59.172,55.491,3.681,6.22
465,Wheatland,39.01,-121.4230556,28,92,3456,1.486,1.479,0.007,3.848,3.831,0.017,0.45
466,Whittier,33.96555556,-118.0244444,112,367,85331,14.7,14.7,0.016,37,37,0.041,0.11
467,Wildomar,33.60361111,-117.2727778,387,1270,32176,23.688,23.688,0,61.351,61.351,0,0
468,Williams,39.15472222,-122.1494444,25,82,5123,5.444,5.444,0,14.101,14.101,0,0
469,Willits,39.40972222,-123.3555556,424,1391,4888,2.803,2.798,0.005,7.26,7.248,0.013,0.17
470,Willows,39.52444444,-122.1936111,42,138,6166,2.873,2.847,0.026,7.441,7.373,0.068,0.92
471,Windsor,38.54611111,-122.8052778,36,118,26801,7.293,7.268,0.025,18.888,18.824,0.064,0.34
472,Winters,38.525,-121.9708333,40,131,6624,2.937,2.912,0.025,7.607,7.543,0.065,0.85
473,Woodlake,36.41638889,-119.0994444,134,440,7279,2.765,2.248,0.517,7.159,5.821,1.338,18.69
474,Woodland,38.67861111,-121.7733333,21,69,55468,15.303,15.303,0,39.634,39.634,0,0
475,Woodside,37.42083333,-122.2597222,117,384,5287,11.732,11.732,0,30.386,30.386,0,0
476,YorbaLinda,33.888551,-117.813231,82.3,270,65237,20.018,19.483,0.535,51.847,50.46,1.387,2.67
477,Yountville,38.40305556,-122.3622222,30,98,2933,1.531,1.531,0,3.966,3.966,0,0
478,Yreka,41.72666667,-122.6375,787,2582,7765,10.053,9.98,0.073,26.036,25.847,0.188,0.72
479,YubaCity,39.13472222,-121.6261111,18,59,64925,14.656,14.578,0.078,37.959,37.758,0.201,0.53
480,Yucaipa,34.03027778,-117.0486111,798,2618,51367,27.893,27.888,0.005,72.244,72.231,0.013,0.02
481,YuccaValley,34.13333333,-116.4166667,1027,3369,20700,40.015,40.015,0,103.639,103.639,0,0
